Timestamp,edad,ahorita,en un rato,luego luego,al rato,ya voy,ya mero,ya casi,a la vuelta,en un ratito,en corto,espérame tantito,luego,uno de estos días,hay que ir por un café
7/19/2022 19:48:55,20 - 25,"15 - 30 min, Nunca (no pienso que se complete la acción)",30 min - 1 hora,Inmediatamente (no más de 1 minuto),"30 min - 1 hora, Nunca (no pienso que se complete la acción)","Inmediatamente (no más de 1 minuto), Nunca (no pienso que se complete la acción)",30 min - 1 hora,30 min - 1 hora,Nunca (no pienso que se complete la acción),no uso esta palabra,Inmediatamente (no más de 1 minuto),1 - 15 min,1 - 24 horas,"1 - 7 días, más de una semana","más de una semana, Nunca (no pienso que se complete la acción)"
7/19/2022 20:00:01,20 - 25,1 - 15 min,15 - 30 min,Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 15 min,"15 - 30 min, 30 min - 1 hora",30 min - 1 hora,Nunca (no pienso que se complete la acción),30 min - 1 hora,30 min - 1 hora,15 - 30 min,más de una semana,Nunca (no pienso que se complete la acción),más de una semana
7/19/2022 20:06:46,20 - 25,"Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min, 30 min - 1 hora, 1 - 24 horas, 1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)","15 - 30 min, 30 min - 1 hora, 1 - 24 horas, 1 - 7 días, más de una semana","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min","1 - 15 min, 15 - 30 min, 30 min - 1 hora, 1 - 24 horas","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min, 30 min - 1 hora","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min",no uso esta palabra,"Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min","30 min - 1 hora, 1 - 24 horas","1 - 24 horas, 1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)","30 min - 1 hora, 1 - 24 horas, más de una semana, Nunca (no pienso que se complete la acción)"
7/19/2022 20:20:30,20 - 25,"1 - 15 min, 15 - 30 min",1 - 24 horas,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),1 - 15 min,15 - 30 min,Nunca (no pienso que se complete la acción),15 - 30 min,1 - 15 min,1 - 15 min,1 - 7 días,1 - 7 días,"1 - 7 días, más de una semana"
7/19/2022 20:20:31,20 - 25,"1 - 15 min, 15 - 30 min",1 - 24 horas,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),1 - 15 min,15 - 30 min,Nunca (no pienso que se complete la acción),15 - 30 min,1 - 15 min,1 - 15 min,1 - 7 días,1 - 7 días,"1 - 7 días, más de una semana"
7/19/2022 20:24:01,20 - 25,"1 - 15 min, 15 - 30 min, 30 min - 1 hora",1 - 24 horas,"Inmediatamente (no más de 1 minuto), 1 - 15 min","30 min - 1 hora, 1 - 24 horas","1 - 15 min, 15 - 30 min","1 - 15 min, 15 - 30 min, 30 min - 1 hora","1 - 15 min, 15 - 30 min, 30 min - 1 hora","Inmediatamente (no más de 1 minuto), 1 - 15 min",30 min - 1 hora,"1 - 15 min, 15 - 30 min, 30 min - 1 hora","Inmediatamente (no más de 1 minuto), 1 - 15 min","1 - 24 horas, 1 - 7 días, más de una semana","1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)","1 - 7 días, más de una semana"
7/19/2022 20:26:59,20 - 25,15 - 30 min,30 min - 1 hora,1 - 15 min,30 min - 1 hora,15 - 30 min,15 - 30 min,1 - 15 min,1 - 24 horas,1 - 15 min,Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 7 días,más de una semana,Nunca (no pienso que se complete la acción)
7/19/2022 20:27:43,20 - 25,1 - 24 horas,1 - 24 horas,1 - 15 min,1 - 24 horas,1 - 15 min,"1 - 15 min, 15 - 30 min","1 - 15 min, 15 - 30 min","1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)","30 min - 1 hora, 1 - 24 horas",30 min - 1 hora,15 - 30 min,"30 min - 1 hora, 1 - 24 horas, 1 - 7 días","1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)",no uso esta expresión
7/19/2022 20:35:50,20 - 25,"1 - 15 min, 15 - 30 min, 30 min - 1 hora, 1 - 24 horas","30 min - 1 hora, 1 - 24 horas","Inmediatamente (no más de 1 minuto), 1 - 15 min","30 min - 1 hora, 1 - 24 horas","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min","Inmediatamente (no más de 1 minuto), 1 - 15 min","Inmediatamente (no más de 1 minuto), 1 - 15 min",1 - 15 min,Inmediatamente (no más de 1 minuto),"Inmediatamente (no más de 1 minuto), 1 - 15 min","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min","15 - 30 min, 30 min - 1 hora","Inmediatamente (no más de 1 minuto), 1 - 7 días","Inmediatamente (no más de 1 minuto), 1 - 15 min"
7/19/2022 20:37:19,20 - 25,"15 - 30 min, 30 min - 1 hora, Nunca (no pienso que se complete la acción)","1 - 24 horas, Nunca (no pienso que se complete la acción)","Inmediatamente (no más de 1 minuto), 1 - 15 min","1 - 24 horas, Nunca (no pienso que se complete la acción)",1 - 15 min,"1 - 15 min, 15 - 30 min","1 - 15 min, 15 - 30 min",no uso esta palabra,30 min - 1 hora,no uso esta palabra,"1 - 15 min, 15 - 30 min","1 - 24 horas, 1 - 7 días, Nunca (no pienso que se complete la acción)","más de una semana, Nunca (no pienso que se complete la acción)",Nunca (no pienso que se complete la acción)
7/19/2022 20:49:54,61 - 70,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),30 min - 1 hora,1 - 15 min,1 - 15 min,Inmediatamente (no más de 1 minuto),30 min - 1 hora,30 min - 1 hora,no uso esta palabra,30 min - 1 hora,1 - 24 horas,Nunca (no pienso que se complete la acción),más de una semana
7/19/2022 20:50:27,20 - 25,1 - 24 horas,30 min - 1 hora,1 - 15 min,1 - 24 horas,"15 - 30 min, 30 min - 1 hora",30 min - 1 hora,15 - 30 min,Nunca (no pienso que se complete la acción),"15 - 30 min, 30 min - 1 hora",1 - 15 min,"15 - 30 min, 30 min - 1 hora","1 - 7 días, más de una semana","1 - 7 días, más de una semana","más de una semana, Nunca (no pienso que se complete la acción)"
7/19/2022 20:58:59,20 - 25,"15 - 30 min, 30 min - 1 hora",1 - 24 horas,"1 - 15 min, 15 - 30 min",1 - 24 horas,"1 - 15 min, 15 - 30 min, 30 min - 1 hora","30 min - 1 hora, 1 - 24 horas",1 - 15 min,Nunca (no pienso que se complete la acción),"15 - 30 min, 30 min - 1 hora",30 min - 1 hora,1 - 24 horas,"1 - 7 días, Nunca (no pienso que se complete la acción)",Nunca (no pienso que se complete la acción),Nunca (no pienso que se complete la acción)
7/19/2022 21:04:35,61 - 70,Inmediatamente (no más de 1 minuto),15 - 30 min,1 - 15 min,15 - 30 min,Inmediatamente (no más de 1 minuto),1 - 15 min,Inmediatamente (no más de 1 minuto),1 - 15 min,1 - 15 min,1 - 15 min,1 - 15 min,1 - 15 min,1 - 7 días,Inmediatamente (no más de 1 minuto)
7/19/2022 21:07:18,61 - 70,1 - 15 min,1 - 15 min,1 - 15 min,1 - 15 min,Inmediatamente (no más de 1 minuto),1 - 15 min,Inmediatamente (no más de 1 minuto),1 - 15 min,1 - 15 min,1 - 15 min,1 - 15 min,15 - 30 min,1 - 7 días,Inmediatamente (no más de 1 minuto)
7/19/2022 21:08:27,61 - 70,Inmediatamente (no más de 1 minuto),1 - 15 min,1 - 15 min,30 min - 1 hora,1 - 15 min,1 - 24 horas,15 - 30 min,1 - 24 horas,30 min - 1 hora,no uso esta palabra,1 - 15 min,1 - 24 horas,1 - 7 días,1 - 15 min
7/19/2022 21:16:12,51 - 60,15 - 30 min,15 - 30 min,1 - 7 días,1 - 24 horas,1 - 15 min,15 - 30 min,1 - 15 min,1 - 15 min,30 min - 1 hora,15 - 30 min,1 - 15 min,1 - 7 días,más de una semana,15 - 30 min
7/19/2022 21:26:01,20 - 25,1 - 15 min,1 - 24 horas,Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 15 min,1 - 15 min,1 - 15 min,1 - 7 días,15 - 30 min,15 - 30 min,1 - 15 min,1 - 7 días,más de una semana,1 - 7 días
7/19/2022 21:27:53,51 - 60,Inmediatamente (no más de 1 minuto),30 min - 1 hora,15 - 30 min,30 min - 1 hora,1 - 15 min,1 - 15 min,1 - 15 min,1 - 15 min,15 - 30 min,1 - 15 min,15 - 30 min,1 - 24 horas,Nunca (no pienso que se complete la acción),1 - 15 min
7/19/2022 21:53:53,61 - 70,Inmediatamente (no más de 1 minuto),15 - 30 min,Inmediatamente (no más de 1 minuto),1 - 24 horas,15 - 30 min,15 - 30 min,30 min - 1 hora,más de una semana,15 - 30 min,1 - 15 min,1 - 15 min,1 - 7 días,más de una semana,Nunca (no pienso que se complete la acción)
7/19/2022 22:03:33,20 - 25,"1 - 15 min, 15 - 30 min",1 - 24 horas,1 - 15 min,1 - 24 horas,15 - 30 min,15 - 30 min,1 - 15 min,1 - 24 horas,30 min - 1 hora,15 - 30 min,15 - 30 min,1 - 24 horas,Nunca (no pienso que se complete la acción),"más de una semana, Nunca (no pienso que se complete la acción)"
7/19/2022 22:08:33,20 - 25,1 - 15 min,15 - 30 min,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),Inmediatamente (no más de 1 minuto),Inmediatamente (no más de 1 minuto),1 - 7 días,1 - 15 min,1 - 15 min,1 - 15 min,1 - 24 horas,más de una semana,Nunca (no pienso que se complete la acción)
7/19/2022 22:16:38,20 - 25,30 min - 1 hora,1 - 24 horas,1 - 15 min,1 - 24 horas,"Inmediatamente (no más de 1 minuto), 1 - 15 min","15 - 30 min, 30 min - 1 hora","15 - 30 min, 30 min - 1 hora",Nunca (no pienso que se complete la acción),30 min - 1 hora,15 - 30 min,"1 - 15 min, 15 - 30 min","1 - 24 horas, 1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)","más de una semana, Nunca (no pienso que se complete la acción)",más de una semana
7/19/2022 22:27:25,36 - 40,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),1 - 24 horas,Inmediatamente (no más de 1 minuto),1 - 15 min,"1 - 15 min, 15 - 30 min",1 - 24 horas,30 min - 1 hora,1 - 15 min,1 - 15 min,1 - 24 horas,"más de una semana, Nunca (no pienso que se complete la acción), no uso esta palabra","más de una semana, no uso esta expresión"
7/19/2022 22:30:57,20 - 25,"Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min","30 min - 1 hora, 1 - 24 horas","Inmediatamente (no más de 1 minuto), 1 - 15 min",1 - 24 horas,"Inmediatamente (no más de 1 minuto), 1 - 15 min","1 - 15 min, 15 - 30 min","1 - 15 min, 15 - 30 min",1 - 7 días,"1 - 15 min, 15 - 30 min","1 - 15 min, 15 - 30 min","1 - 15 min, 15 - 30 min, 30 min - 1 hora","1 - 24 horas, 1 - 7 días","1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)","1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)"
7/19/2022 22:43:49,20 - 25,30 min - 1 hora,1 - 24 horas,Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 15 min,15 - 30 min,1 - 15 min,30 min - 1 hora,15 - 30 min,1 - 15 min,1 - 15 min,1 - 24 horas,"más de una semana, Nunca (no pienso que se complete la acción)","más de una semana, Nunca (no pienso que se complete la acción)"
7/20/2022 0:05:31,26 - 30,1 - 15 min,1 - 24 horas,1 - 15 min,1 - 24 horas,Inmediatamente (no más de 1 minuto),15 - 30 min,1 - 15 min,no uso esta palabra,30 min - 1 hora,1 - 15 min,15 - 30 min,1 - 7 días,más de una semana,Nunca (no pienso que se complete la acción)
7/20/2022 0:36:54,20 - 25,"1 - 15 min, 15 - 30 min",30 min - 1 hora,"Inmediatamente (no más de 1 minuto), 1 - 15 min",1 - 24 horas,"Inmediatamente (no más de 1 minuto), 1 - 15 min","1 - 15 min, 15 - 30 min",1 - 15 min,1 - 24 horas,15 - 30 min,"1 - 15 min, 15 - 30 min",1 - 15 min,"1 - 24 horas, 1 - 7 días",más de una semana,1 - 7 días
7/20/2022 0:38:28,20 - 25,"1 - 15 min, 30 min - 1 hora, 1 - 24 horas","1 - 24 horas, 1 - 7 días","Inmediatamente (no más de 1 minuto), 15 - 30 min, 30 min - 1 hora","30 min - 1 hora, 1 - 24 horas","15 - 30 min, 30 min - 1 hora, 1 - 24 horas","15 - 30 min, 30 min - 1 hora","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min",no uso esta palabra,"15 - 30 min, 30 min - 1 hora, 1 - 24 horas",más de una semana,"1 - 15 min, 15 - 30 min, 30 min - 1 hora",Nunca (no pienso que se complete la acción),"más de una semana, Nunca (no pienso que se complete la acción)","más de una semana, Nunca (no pienso que se complete la acción)"
7/20/2022 0:47:48,20 - 25,"Inmediatamente (no más de 1 minuto), 1 - 15 min","30 min - 1 hora, 1 - 24 horas","Inmediatamente (no más de 1 minuto), 1 - 15 min","30 min - 1 hora, 1 - 24 horas","Inmediatamente (no más de 1 minuto), 1 - 15 min","1 - 15 min, 15 - 30 min","1 - 15 min, 15 - 30 min, 30 min - 1 hora, 1 - 24 horas, 1 - 7 días",Nunca (no pienso que se complete la acción),30 min - 1 hora,"1 - 15 min, 15 - 30 min, 30 min - 1 hora",15 - 30 min,"30 min - 1 hora, 1 - 24 horas, 1 - 7 días","1 - 7 días, más de una semana","1 - 7 días, más de una semana"
7/20/2022 0:54:04,26 - 30,"Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min, 30 min - 1 hora, 1 - 24 horas, 1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)","30 min - 1 hora, 1 - 24 horas",Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 24 horas,30 min - 1 hora,1 - 15 min,Nunca (no pienso que se complete la acción),"15 - 30 min, 30 min - 1 hora",30 min - 1 hora,"15 - 30 min, 30 min - 1 hora",Nunca (no pienso que se complete la acción),"más de una semana, Nunca (no pienso que se complete la acción)","más de una semana, Nunca (no pienso que se complete la acción)"
7/20/2022 4:45:59,20 - 25,1 - 24 horas,1 - 24 horas,Inmediatamente (no más de 1 minuto),1 - 24 horas,15 - 30 min,1 - 15 min,1 - 15 min,Inmediatamente (no más de 1 minuto),30 min - 1 hora,15 - 30 min,15 - 30 min,1 - 7 días,"1 - 7 días, más de una semana",más de una semana
7/20/2022 5:51:50,20 - 25,1 - 15 min,30 min - 1 hora,"Inmediatamente (no más de 1 minuto), 1 - 15 min",30 min - 1 hora,1 - 15 min,1 - 15 min,"30 min - 1 hora, 1 - 24 horas",Nunca (no pienso que se complete la acción),"15 - 30 min, 30 min - 1 hora",1 - 15 min,"1 - 15 min, 15 - 30 min",1 - 7 días,más de una semana,Nunca (no pienso que se complete la acción)
7/20/2022 6:50:07,20 - 25,15 - 30 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),1 - 24 horas,15 - 30 min,1 - 15 min,1 - 15 min,1 - 7 días,15 - 30 min,1 - 15 min,1 - 15 min,Nunca (no pienso que se complete la acción),Nunca (no pienso que se complete la acción),más de una semana
7/20/2022 8:11:30,20 - 25,"15 - 30 min, 30 min - 1 hora","15 - 30 min, 30 min - 1 hora",Inmediatamente (no más de 1 minuto),"15 - 30 min, 30 min - 1 hora",1 - 15 min,"15 - 30 min, 30 min - 1 hora",1 - 15 min,Nunca (no pienso que se complete la acción),30 min - 1 hora,1 - 15 min,"1 - 15 min, 15 - 30 min","30 min - 1 hora, 1 - 24 horas",Nunca (no pienso que se complete la acción),"más de una semana, Nunca (no pienso que se complete la acción)"
7/20/2022 9:08:08,20 - 25,15 - 30 min,30 min - 1 hora,1 - 15 min,1 - 24 horas,15 - 30 min,1 - 15 min,1 - 15 min,1 - 7 días,30 min - 1 hora,30 min - 1 hora,1 - 15 min,1 - 24 horas,más de una semana,más de una semana
7/20/2022 9:14:56,20 - 25,15 - 30 min,30 min - 1 hora,1 - 15 min,1 - 24 horas,1 - 15 min,1 - 15 min,1 - 15 min,1 - 7 días,30 min - 1 hora,15 - 30 min,"1 - 15 min, 15 - 30 min",1 - 7 días,Nunca (no pienso que se complete la acción),más de una semana
7/20/2022 9:16:51,51 - 60,Inmediatamente (no más de 1 minuto),1 - 15 min,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),15 - 30 min,15 - 30 min,1 - 24 horas,30 min - 1 hora,30 min - 1 hora,30 min - 1 hora,30 min - 1 hora,1 - 7 días,15 - 30 min
7/20/2022 10:00:23,26 - 30,1 - 24 horas,1 - 24 horas,Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 15 min,1 - 15 min,1 - 15 min,30 min - 1 hora,1 - 24 horas,15 - 30 min,30 min - 1 hora,1 - 24 horas,Nunca (no pienso que se complete la acción),Nunca (no pienso que se complete la acción)
7/20/2022 10:01:00,20 - 25,15 - 30 min,30 min - 1 hora,1 - 15 min,1 - 24 horas,"Inmediatamente (no más de 1 minuto), 1 - 15 min",1 - 15 min,1 - 15 min,Nunca (no pienso que se complete la acción),15 - 30 min,1 - 15 min,1 - 15 min,1 - 7 días,Nunca (no pienso que se complete la acción),Nunca (no pienso que se complete la acción)
7/20/2022 10:02:11,26 - 30,"Inmediatamente (no más de 1 minuto), 15 - 30 min, 30 min - 1 hora","15 - 30 min, 1 - 24 horas","Inmediatamente (no más de 1 minuto), 1 - 15 min",1 - 24 horas,1 - 15 min,1 - 15 min,1 - 15 min,no uso esta palabra,"15 - 30 min, 30 min - 1 hora",1 - 15 min,1 - 15 min,1 - 24 horas,"1 - 7 días, más de una semana","1 - 7 días, más de una semana"
7/20/2022 10:44:04,20 - 25,1 - 15 min,1 - 24 horas,1 - 15 min,1 - 24 horas,15 - 30 min,15 - 30 min,1 - 15 min,1 - 7 días,1 - 15 min,Inmediatamente (no más de 1 minuto),15 - 30 min,1 - 7 días,más de una semana,más de una semana
7/20/2022 11:27:36,26 - 30,15 - 30 min,30 min - 1 hora,1 - 15 min,1 - 24 horas,Inmediatamente (no más de 1 minuto),1 - 15 min,1 - 15 min,1 - 7 días,15 - 30 min,1 - 15 min,30 min - 1 hora,1 - 24 horas,más de una semana,más de una semana
7/20/2022 11:56:53,41 - 50,Inmediatamente (no más de 1 minuto),1 - 24 horas,Inmediatamente (no más de 1 minuto),30 min - 1 hora,1 - 15 min,15 - 30 min,30 min - 1 hora,"1 - 24 horas, 1 - 7 días",30 min - 1 hora,1 - 15 min,1 - 15 min,1 - 24 horas,más de una semana,Nunca (no pienso que se complete la acción)
7/20/2022 12:02:45,20 - 25,1 - 15 min,30 min - 1 hora,1 - 15 min,1 - 24 horas,"1 - 15 min, 15 - 30 min","15 - 30 min, 30 min - 1 hora",1 - 15 min,1 - 24 horas,"30 min - 1 hora, 1 - 24 horas","1 - 15 min, 15 - 30 min",1 - 15 min,1 - 24 horas,Nunca (no pienso que se complete la acción),1 - 7 días
7/20/2022 12:32:50,20 - 25,"15 - 30 min, 30 min - 1 hora",1 - 24 horas,"1 - 15 min, 15 - 30 min",30 min - 1 hora,"15 - 30 min, 30 min - 1 hora","1 - 15 min, 15 - 30 min",1 - 15 min,1 - 24 horas,30 min - 1 hora,"1 - 15 min, 15 - 30 min",1 - 15 min,"1 - 24 horas, 1 - 7 días",más de una semana,"1 - 7 días, más de una semana"
7/20/2022 12:48:45,20 - 25,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),30 min - 1 hora,15 - 30 min,15 - 30 min,1 - 15 min,Nunca (no pienso que se complete la acción),30 min - 1 hora,1 - 15 min,"1 - 15 min, 15 - 30 min",1 - 24 horas,Nunca (no pienso que se complete la acción),"más de una semana, Nunca (no pienso que se complete la acción)"
7/20/2022 14:41:33,20 - 25,30 min - 1 hora,1 - 24 horas,Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 15 min,15 - 30 min,1 - 15 min,Nunca (no pienso que se complete la acción),15 - 30 min,15 - 30 min,1 - 15 min,1 - 7 días,más de una semana,1 - 7 días
7/20/2022 14:47:37,26 - 30,15 - 30 min,30 min - 1 hora,1 - 15 min,1 - 24 horas,Inmediatamente (no más de 1 minuto),30 min - 1 hora,1 - 15 min,Nunca (no pienso que se complete la acción),30 min - 1 hora,15 - 30 min,15 - 30 min,1 - 24 horas,Nunca (no pienso que se complete la acción),Nunca (no pienso que se complete la acción)
7/20/2022 16:15:07,30 - 35,30 min - 1 hora,30 min - 1 hora,1 - 15 min,1 - 24 horas,1 - 15 min,15 - 30 min,1 - 15 min,1 - 24 horas,15 - 30 min,no uso esta palabra,1 - 15 min,1 - 24 horas,más de una semana,1 - 7 días
7/20/2022 16:38:04,51 - 60,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),1 - 24 horas,Inmediatamente (no más de 1 minuto),1 - 15 min,Inmediatamente (no más de 1 minuto),1 - 7 días,15 - 30 min,no uso esta palabra,15 - 30 min,1 - 24 horas,Nunca (no pienso que se complete la acción),"más de una semana, Nunca (no pienso que se complete la acción)"
7/20/2022 16:53:12,41 - 50,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 15 min,"1 - 7 días, más de una semana",15 - 30 min,1 - 24 horas,1 - 15 min,15 - 30 min,15 - 30 min,30 min - 1 hora,Nunca (no pienso que se complete la acción),30 min - 1 hora
7/20/2022 16:59:17,36 - 40,"Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min, 30 min - 1 hora, 1 - 24 horas, 1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)","15 - 30 min, 30 min - 1 hora, 1 - 24 horas","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min, 30 min - 1 hora, 1 - 24 horas",1 - 24 horas,"1 - 15 min, 15 - 30 min, 30 min - 1 hora","1 - 15 min, 15 - 30 min, 30 min - 1 hora, 1 - 24 horas, 1 - 7 días, más de una semana","1 - 15 min, 15 - 30 min, 30 min - 1 hora","30 min - 1 hora, 1 - 24 horas, 1 - 7 días, más de una semana","15 - 30 min, 30 min - 1 hora","1 - 15 min, 15 - 30 min","Inmediatamente (no más de 1 minuto), 1 - 15 min","30 min - 1 hora, 1 - 24 horas, 1 - 7 días, más de una semana","más de una semana, Nunca (no pienso que se complete la acción)","más de una semana, Nunca (no pienso que se complete la acción)"
7/20/2022 17:02:57,51 - 60,15 - 30 min,1 - 24 horas,1 - 15 min,"30 min - 1 hora, 1 - 24 horas",Inmediatamente (no más de 1 minuto),30 min - 1 hora,30 min - 1 hora,1 - 7 días,1 - 15 min,30 min - 1 hora,30 min - 1 hora,más de una semana,Nunca (no pienso que se complete la acción),más de una semana
